asap0_id,asap0_name,hs_code,hs_name,comment,g1_w_crop,g1_w_range,g1_w_any,ISO3
13,Kyrgyzstan,0,No hotspot,"In Kyrgyzstan, sowings of winter wheat finalized in November under above average moisture conditions in the west and north of the country.",0,0,0,KGZ
20,Bangladesh,0,No hotspot,"In Bangladesh, harvest of Aman rice (35% of total rice production) has started and above average crop biomass across the country points towards favourable prospects.",0,1,1,BGD
27,Tajikistan,0,No hotspot,"In Tajikistan, winter wheat sowings finalized in November under favourable conditions.",0,0,0,TJK
29,Sudan,2,Major hotspot,"Rainfall during the main crop season in Sudan was generally above average with peaks in June and July, which caused extended floods both in the West and in the high potential agricultural areas in the East. After initial delays in the start of the agricultural season due to high temperatures in May-June followed by intensive rainfall in July, both crop and rangeland vegetation show a rapid greening and mostly above average conditions from September to December. The above average biomass conditions suggest overall good performance of both crop and rangelands, however towards the end of the season it becomes also clear that a significant part of the high potential areas along the Nile and in irrigated areas in Al Jazeera, Sennar and White Nile had a significantly shorter crop cycle than in normal years, suggesting limited planting or use of short cycle crops after flood retreat and making below average yields in these regions likely. Also, it remains challenging, based on remote sensing only, to assess the impact of the conflict on agricultural productivity in a season with exceptionally favourable rainfall. Socio economic and conflict related factors including access to fields, availability of farming inputs and labour, will play a key role in the final amount of grain harvested, even if general vegetation conditions appear positive. Pastoral areas are experiencing abundance of rangelands vegetation, though herd sizes might still be below average due to the effects of the ongoing conflict and the long drought in East Africa in 2021-2023. Examples of areas with short cycle crops or low areas planted: [https://agricultural-production-hotspots.ec.europa.eu/s/d6c57552] Eastern part of Al Jazeera , [https://agricultural-production-hotspots.ec.europa.eu/s/69639eaa] Riverine areas in White Nile, [https://agricultural-production-hotspots.ec.europa.eu/s/1a76053f] Mechanized areas in Sennar. According to [https://www.ipcinfo.org/ipcinfo-website/countries-in-focus-archive/issue-107/en/] an IPC report published in August, famine conditions are prevalent in parts of North Darfur including the ZamZam camp close to the state capital El Fasher. According to [https://fews.net/east-africa/sudan] Fewsnet, other areas in Darfur, Southern Kordofan and in Khartoume are facing risk of famine (October). While these are only the most severe situations, the conflict is causing devastating impacts across the whole country with over more than 10 million internally displaced people.",0,0,0,SDN
33,Mozambique,0,No hotspot,"Sowing of cereal crops is underway in southern and central parts, and planting activities are progressing further north as seasonal rains arrive. There is a delay in sowing activities and crop and pasture development in some central and northern parts. More specifically, in the provinces of Tete, Niassa, Manica and Sofala, crop growth is slightly delayed. Similarly, in the provinces of Tete, Manica and Nampula, rangeland conditions in mid-November are below-average. Rainfall in the last month has been average across the country. The [https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast.php?sfreg=africa] Copernicus C3S Multimodel seasonal rainfall forecast for the December 2024-February 2025 period points to average to above-average rainfall conditions across the country. Close monitoring is recommended over the coming weeks.
",4,3,5,MOZ
35,Cuba,0,No hotspot,"Main cycles of rice, maize and sweet potato are in the harvesting stage this month. Minor cycles of maize and rice, and the cycle of potato are in the sowing stage. Average and above average vegetation conditions are observed in most cropland areas, indicating favorable harvest prospects. In the last month, rainfall has been normal in all cropland areas, which have favored the establishment of the new crop cycles. However, these cycles could be negatively affected if the below average rainfall forecast for the entire country by the end of January materializes ([https://agricultural-production-hotspots.ec.europa.eu/seasonal_forecast/monthly-precipitation/forecast/monthly-percentile-probability-plot/multimod-2024_2024_11_2-3-north_america.png"" target=""_blank"" rel=""noreferrer noopener] Copernicus C3S Multimodel).",0,0,0,CUB
41,Laos,3,Not assessed,Not a hotspot country according to the latest ASAP analysis.,4,7,8,LAO
43,Djibouti,0,No hotspot,Not a hotspot country according to the latest ASAP analysis.,0,0,0,DJI
50,Uzbekistan,0,No hotspot,"In Uzbekistan, sowing of winter wheat and barley finalized in November under close to average rainfall and temperature conditions, after a wet October in the northeast of the country (Andijan, Fergana and Namangan receiving twice their normal rainfall in the last two dekads of October).",0,1,1,UZB
51,Madagascar,1,Hotspot,"In Madagascar, rice planting in the central Highlands is underway under drier than average conditions on the east coast, that receives the rain brought by the easterly trade winds, but we are at the start of the rainy season and rice is usually planted till February. 
In the Grand South, planting of cereals and legume is underway (till end of January), and crop emergence has benefitted from close to average rainfall conditions up to now. The Grand South (Anosy, Androy and Atsimo Andrefana) is still estimated to have about 1.7 million people are facing acute food insecurity (IPC phase 3 and above) as a result of previous droughts (2020, 2021 and 2022) and poor socio economic conditions according to the 2024 Global report on Food Crises.",3,2,4,MDG
